Date,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total,Prefecture_ID,Name,Daily_Confirmed_Cases,Daily_Confirmed_Cases_Total,Daily_Death,Death_Total
2020/1/1,1,北海道,0,0,0,0,2,青森県,0,0,0,0,3,岩手県,0,0,0,0,4,宮城県,0,0,0,0,5,秋田県,0,0,0,0,6,山形県,0,0,0,0,7,福島県,0,0,0,0,8,茨城県,0,0,0,0,9,栃木県,0,0,0,0,10,群馬県,0,0,0,0,11,埼玉県,0,0,0,0,12,千葉県,0,0,0,0,13,東京都,0,0,0,0,14,神奈川県,0,0,0,0,15,新潟県,0,0,0,0,16,富山県,0,0,0,0,17,石川県,0,0,0,0,18,福井県,0,0,0,0,19,山梨県,0,0,0,0,20,長野県,0,0,0,0,21,岐阜県,0,0,0,0,22,静岡県,0,0,0,0,23,愛知県,0,0,0,0,24,三重県,0,0,0,0,25,滋賀県,0,0,0,0,26,京都府,0,0,0,0,27,大阪府,0,0,0,0,28,兵庫県,0,0,0,0,29,奈良県,0,0,0,0,30,和歌山県,0,0,0,0,31,鳥取県,0,0,0,0,32,島根県,0,0,0,0,33,岡山県,0,0,0,0,34,広島県,0,0,0,0,35,山口県,0,0,0,0,36,徳島県,0,0,0,0,37,香川県,0,0,0,0,38,愛媛県,0,0,0,0,39,高知県,0,0,0,0,40,福岡県,0,0,0,0,41,佐賀県,0,0,0,0,42,長崎県,0,0,0,0,43,熊本県,0,0,0,0,44,大分県,0,0,0,0,45,宮崎県,0,0,0,0,46,鹿児島県,0,0,0,0,47,沖縄県,0,0,0,0
2020/1/2,1,北海道,0,0,0,0,2,青森県,0,0,0,0,3,岩手県,0,0,0,0,4,宮城県,0,0,0,0,5,秋田県,0,0,0,0,6,山形県,0,0,0,0,7,福島県,0,0,0,0,8,茨城県,0,0,0,0,9,栃木県,0,0,0,0,10,群馬県,0,0,0,0,11,埼玉県,0,0,0,0,12,千葉県,0,0,0,0,13,東京都,0,0,0,0,14,神奈川県,0,0,0,0,15,新潟県,0,0,0,0,16,富山県,0,0,0,0,17,石川県,0,0,0,0,18,福井県,0,0,0,0,19,山梨県,0,0,0,0,20,長野県,0,0,0,0,21,岐阜県,0,0,0,0,22,静岡県,0,0,0,0,23,愛知県,0,0,0,0,24,三重県,0,0,0,0,25,滋賀県,0,0,0,0,26,京都府,0,0,0,0,27,大阪府,0,0,0,0,28,兵庫県,0,0,0,0,29,奈良県,0,0,0,0,30,和歌山県,0,0,0,0,31,鳥取県,0,0,0,0,32,島根県,0,0,0,0,33,岡山県,0,0,0,0,34,広島県,0,0,0,0,35,山口県,0,0,0,0,36,徳島県,0,0,0,0,37,香川県,0,0,0,0,38,愛媛県,0,0,0,0,39,高知県,0,0,0,0,40,福岡県,0,0,0,0,41,佐賀県,0,0,0,0,42,長崎県,0,0,0,0,43,熊本県,0,0,0,0,44,大分県,0,0,0,0,45,宮崎県,0,0,0,0,46,鹿児島県,0,0,0,0,47,沖縄県,0,0,0,0
2020/1/3,1,北海道,0,0,0,0,2,青森県,0,0,0,0,3,岩手県,0,0,0,0,4,宮城県,0,0,0,0,5,秋田県,0,0,0,0,6,山形県,0,0,0,0,7,福島県,0,0,0,0,8,茨城県,0,0,0,0,9,栃木県,0,0,0,0,10,群馬県,0,0,0,0,11,埼玉県,0,0,0,0,12,千葉県,0,0,0,0,13,東京都,0,0,0,0,14,神奈川県,0,0,0,0,15,新潟県,0,0,0,0,16,富山県,0,0,0,0,17,石川県,0,0,0,0,18,福井県,0,0,0,0,19,山梨県,0,0,0,0,20,長野県,0,0,0,0,21,岐阜県,0,0,0,0,22,静岡県,0,0,0,0,23,愛知県,0,0,0,0,24,三重県,0,0,0,0,25,滋賀県,0,0,0,0,26,京都府,0,0,0,0,27,大阪府,0,0,0,0,28,兵庫県,0,0,0,0,29,奈良県,0,0,0,0,30,和歌山県,0,0,0,0,31,鳥取県,0,0,0,0,32,島根県,0,0,0,0,33,岡山県,0,0,0,0,34,広島県,0,0,0,0,35,山口県,0,0,0,0,36,徳島県,0,0,0,0,37,香川県,0,0,0,0,38,愛媛県,0,0,0,0,39,高知県,0,0,0,0,40,福岡県,0,0,0,0,41,佐賀県,0,0,0,0,42,長崎県,0,0,0,0,43,熊本県,0,0,0,0,44,大分県,0,0,0,0,45,宮崎県,0,0,0,0,46,鹿児島県,0,0,0,0,47,沖縄県,0,0,0,0
2020/1/4,1,北海道,0,0,0,0,2,青森県,0,0,0,0,3,岩手県,0,0,0,0,4,宮城県,0,0,0,0,5,秋田県,0,0,0,0,6,山形県,0,0,0,0,7,福島県,0,0,0,0,8,茨城県,0,0,0,0,9,栃木県,0,0,0,0,10,群馬県,0,0,0,0,11,埼玉県,0,0,0,0,12,千葉県,0,0,0,0,13,東京都,0,0,0,0,14,神奈川県,0,0,0,0,15,新潟県,0,0,0,0,16,富山県,0,0,0,0,17,石川県,0,0,0,0,18,福井県,0,0,0,0,19,山梨県,0,0,0,0,20,長野県,0,0,0,0,21,岐阜県,0,0,0,0,22,静岡県,0,0,0,0,23,愛知県,0,0,0,0,24,三重県,0,0,0,0,25,滋賀県,0,0,0,0,26,京都府,0,0,0,0,27,大阪府,0,0,0,0,28,兵庫県,0,0,0,0,29,奈良県,0,0,0,0,30,和歌山県,0,0,0,0,31,鳥取県,0,0,0,0,32,島根県,0,0,0,0,33,岡山県,0,0,0,0,34,広島県,0,0,0,0,35,山口県,0,0,0,0,36,徳島県,0,0,0,0,37,香川県,0,0,0,0,38,愛媛県,0,0,0,0,39,高知県,0,0,0,0,40,福岡県,0,0,0,0,41,佐賀県,0,0,0,0,42,長崎県,0,0,0,0,43,熊本県,0,0,0,0,44,大分県,0,0,0,0,45,宮崎県,0,0,0,0,46,鹿児島県,0,0,0,0,47,沖縄県,0,0,0,0
2020/1/5,1,北海道,0,0,0,0,2,青森県,0,0,0,0,3,岩手県,0,0,0,0,4,宮城県,0,0,0,0,5,秋田県,0,0,0,0,6,山形県,0,0,0,0,7,福島県,0,0,0,0,8,茨城県,0,0,0,0,9,栃木県,0,0,0,0,10,群馬県,0,0,0,0,11,埼玉県,0,0,0,0,12,千葉県,0,0,0,0,13,東京都,0,0,0,0,14,神奈川県,0,0,0,0,15,新潟県,0,0,0,0,16,富山県,0,0,0,0,17,石川県,0,0,0,0,18,福井県,0,0,0,0,19,山梨県,0,0,0,0,20,長野県,0,0,0,0,21,岐阜県,0,0,0,0,22,静岡県,0,0,0,0,23,愛知県,0,0,0,0,24,三重県,0,0,0,0,25,滋賀県,0,0,0,0,26,京都府,0,0,0,0,27,大阪府,0,0,0,0,28,兵庫県,0,0,0,0,29,奈良県,0,0,0,0,30,和歌山県,0,0,0,0,31,鳥取県,0,0,0,0,32,島根県,0,0,0,0,33,岡山県,0,0,0,0,34,広島県,0,0,0,0,35,山口県,0,0,0,0,36,徳島県,0,0,0,0,37,香川県,0,0,0,0,38,愛媛県,0,0,0,0,39,高知県,0,0,0,0,40,福岡県,0,0,0,0,41,佐賀県,0,0,0,0,42,長崎県,0,0,0,0,43,熊本県,0,0,0,0,44,大分県,0,0,0,0,45,宮崎県,0,0,0,0,46,鹿児島県,0,0,0,0,47,沖縄県,0,0,0,0
2020/1/6,1,北海道,0,0,0,0,2,青森県,0,0,0,0,3,岩手県,0,0,0,0,4,宮城県,0,0,0,0,5,秋田県,0,0,0,0,6,山形県,0,0,0,0,7,福島県,0,0,0,0,8,茨城県,0,0,0,0,9,栃木県,0,0,0,0,10,群馬県,0,0,0,0,11,埼玉県,0,0,0,0,12,千葉県,0,0,0,0,13,東京都,0,0,0,0,14,神奈川県,0,0,0,0,15,新潟県,0,0,0,0,16,富山県,0,0,0,0,17,石川県,0,0,0,0,18,福井県,0,0,0,0,19,山梨県,0,0,0,0,20,長野県,0,0,0,0,21,岐阜県,0,0,0,0,22,静岡県,0,0,0,0,23,愛知県,0,0,0,0,24,三重県,0,0,0,0,25,滋賀県,0,0,0,0,26,京都府,0,0,0,0,27,大阪府,0,0,0,0,28,兵庫県,0,0,0,0,29,奈良県,0,0,0,0,30,和歌山県,0,0,0,0,31,鳥取県,0,0,0,0,32,島根県,0,0,0,0,33,岡山県,0,0,0,0,34,広島県,0,0,0,0,35,山口県,0,0,0,0,36,徳島県,0,0,0,0,37,香川県,0,0,0,0,38,愛媛県,0,0,0,0,39,高知県,0,0,0,0,40,福岡県,0,0,0,0,41,佐賀県,0,0,0,0,42,長崎県,0,0,0,0,43,熊本県,0,0,0,0,44,大分県,0,0,0,0,45,宮崎県,0,0,0,0,46,鹿児島県,0,0,0,0,47,沖縄県,0,0,0,0
2020/1/7,1,北海道,0,0,0,0,2,青森県,0,0,0,0,3,岩手県,0,0,0,0,4,宮城県,0,0,0,0,5,秋田県,0,0,0,0,6,山形県,0,0,0,0,7,福島県,0,0,0,0,8,茨城県,0,0,0,0,9,栃木県,0,0,0,0,10,群馬県,0,0,0,0,11,埼玉県,0,0,0,0,12,千葉県,0,0,0,0,13,東京都,0,0,0,0,14,神奈川県,0,0,0,0,15,新潟県,0,0,0,0,16,富山県,0,0,0,0,17,石川県,0,0,0,0,18,福井県,0,0,0,0,19,山梨県,0,0,0,0,20,長野県,0,0,0,0,21,岐阜県,0,0,0,0,22,静岡県,0,0,0,0,23,愛知県,0,0,0,0,24,三重県,0,0,0,0,25,滋賀県,0,0,0,0,26,京都府,0,0,0,0,27,大阪府,0,0,0,0,28,兵庫県,0,0,0,0,29,奈良県,0,0,0,0,30,和歌山県,0,0,0,0,31,鳥取県,0,0,0,0,32,島根県,0,0,0,0,33,岡山県,0,0,0,0,34,広島県,0,0,0,0,35,山口県,0,0,0,0,36,徳島県,0,0,0,0,37,香川県,0,0,0,0,38,愛媛県,0,0,0,0,39,高知県,0,0,0,0,40,福岡県,0,0,0,0,41,佐賀県,0,0,0,0,42,長崎県,0,0,0,0,43,熊本県,0,0,0,0,44,大分県,0,0,0,0,45,宮崎県,0,0,0,0,46,鹿児島県,0,0,0,0,47,沖縄県,0,0,0,0
2020/1/8,1,北海道,0,0,0,0,2,青森県,0,0,0,0,3,岩手県,0,0,0,0,4,宮城県,0,0,0,0,5,秋田県,0,0,0,0,6,山形県,0,0,0,0,7,福島県,0,0,0,0,8,茨城県,0,0,0,0,9,栃木県,0,0,0,0,10,群馬県,0,0,0,0,11,埼玉県,0,0,0,0,12,千葉県,0,0,0,0,13,東京都,0,0,0,0,14,神奈川県,0,0,0,0,15,新潟県,0,0,0,0,16,富山県,0,0,0,0,17,石川県,0,0,0,0,18,福井県,0,0,0,0,19,山梨県,0,0,0,0,20,長野県,0,0,0,0,21,岐阜県,0,0,0,0,22,静岡県,0,0,0,0,23,愛知県,0,0,0,0,24,三重県,0,0,0,0,25,滋賀県,0,0,0,0,26,京都府,0,0,0,0,27,大阪府,0,0,0,0,28,兵庫県,0,0,0,0,29,奈良県,0,0,0,0,30,和歌山県,0,0,0,0,31,鳥取県,0,0,0,0,32,島根県,0,0,0,0,33,岡山県,0,0,0,0,34,広島県,0,0,0,0,35,山口県,0,0,0,0,36,徳島県,0,0,0,0,37,香川県,0,0,0,0,38,愛媛県,0,0,0,0,39,高知県,0,0,0,0,40,福岡県,0,0,0,0,41,佐賀県,0,0,0,0,42,長崎県,0,0,0,0,43,熊本県,0,0,0,0,44,大分県,0,0,0,0,45,宮崎県,0,0,0,0,46,鹿児島県,0,0,0,0,47,沖縄県,0,0,0,0
2020/1/9,1,北海道,0,0,0,0,2,青森県,0,0,0,0,3,岩手県,0,0,0,0,4,宮城県,0,0,0,0,5,秋田県,0,0,0,0,6,山形県,0,0,0,0,7,福島県,0,0,0,0,8,茨城県,0,0,0,0,9,栃木県,0,0,0,0,10,群馬県,0,0,0,0,11,埼玉県,0,0,0,0,12,千葉県,0,0,0,0,13,東京都,0,0,0,0,14,神奈川県,0,0,0,0,15,新潟県,0,0,0,0,16,富山県,0,0,0,0,17,石川県,0,0,0,0,18,福井県,0,0,0,0,19,山梨県,0,0,0,0,20,長野県,0,0,0,0,21,岐阜県,0,0,0,0,22,静岡県,0,0,0,0,23,愛知県,0,0,0,0,24,三重県,0,0,0,0,25,滋賀県,0,0,0,0,26,京都府,0,0,0,0,27,大阪府,0,0,0,0,28,兵庫県,0,0,0,0,29,奈良県,0,0,0,0,30,和歌山県,0,0,0,0,31,鳥取県,0,0,0,0,32,島根県,0,0,0,0,33,岡山県,0,0,0,0,34,広島県,0,0,0,0,35,山口県,0,0,0,0,36,徳島県,0,0,0,0,37,香川県,0,0,0,0,38,愛媛県,0,0,0,0,39,高知県,0,0,0,0,40,福岡県,0,0,0,0,41,佐賀県,0,0,0,0,42,長崎県,0,0,0,0,43,熊本県,0,0,0,0,44,大分県,0,0,0,0,45,宮崎県,0,0,0,0,46,鹿児島県,0,0,0,0,47,沖縄県,0,0,0,0
2020/1/10,1,北海道,0,0,0,0,2,青森県,0,0,0,0,3,岩手県,0,0,0,0,4,宮城県,0,0,0,0,5,秋田県,0,0,0,0,6,山形県,0,0,0,0,7,福島県,0,0,0,0,8,茨城県,0,0,0,0,9,栃木県,0,0,0,0,10,群馬県,0,0,0,0,11,埼玉県,0,0,0,0,12,千葉県,0,0,0,0,13,東京都,0,0,0,0,14,神奈川県,0,0,0,0,15,新潟県,0,0,0,0,16,富山県,0,0,0,0,17,石川県,0,0,0,0,18,福井県,0,0,0,0,19,山梨県,0,0,0,0,20,長野県,0,0,0,0,21,岐阜県,0,0,0,0,22,静岡県,0,0,0,0,23,愛知県,0,0,0,0,24,三重県,0,0,0,0,25,滋賀県,0,0,0,0,26,京都府,0,0,0,0,27,大阪府,0,0,0,0,28,兵庫県,0,0,0,0,29,奈良県,0,0,0,0,30,和歌山県,0,0,0,0,31,鳥取県,0,0,0,0,32,島根県,0,0,0,0,33,岡山県,0,0,0,0,34,広島県,0,0,0,0,35,山口県,0,0,0,0,36,徳島県,0,0,0,0,37,香川県,0,0,0,0,38,愛媛県,0,0,0,0,39,高知県,0,0,0,0,40,福岡県,0,0,0,0,41,佐賀県,0,0,0,0,42,長崎県,0,0,0,0,43,熊本県,0,0,0,0,44,大分県,0,0,0,0,45,宮崎県,0,0,0,0,46,鹿児島県,0,0,0,0,47,沖縄県,0,0,0,0
2020/1/11,1,北海道,0,0,0,0,2,青森県,0,0,0,0,3,岩手県,0,0,0,0,4,宮城県,0,0,0,0,5,秋田県,0,0,0,0,6,山形県,0,0,0,0,7,福島県,0,0,0,0,8,茨城県,0,0,0,0,9,栃木県,0,0,0,0,10,群馬県,0,0,0,0,11,埼玉県,0,0,0,0,12,千葉県,0,0,0,0,13,東京都,0,0,0,0,14,神奈川県,0,0,0,0,15,新潟県,0,0,0,0,16,富山県,0,0,0,0,17,石川県,0,0,0,0,18,福井県,0,0,0,0,19,山梨県,0,0,0,0,20,長野県,0,0,0,0,21,岐阜県,0,0,0,0,22,静岡県,0,0,0,0,23,愛知県,0,0,0,0,24,三重県,0,0,0,0,25,滋賀県,0,0,0,0,26,京都府,0,0,0,0,27,大阪府,0,0,0,0,28,兵庫県,0,0,0,0,29,奈良県,0,0,0,0,30,和歌山県,0,0,0,0,31,鳥取県,0,0,0,0,32,島根県,0,0,0,0,33,岡山県,0,0,0,0,34,広島県,0,0,0,0,35,山口県,0,0,0,0,36,徳島県,0,0,0,0,37,香川県,0,0,0,0,38,愛媛県,0,0,0,0,39,高知県,0,0,0,0,40,福岡県,0,0,0,0,41,佐賀県,0,0,0,0,42,長崎県,0,0,0,0,43,熊本県,0,0,0,0,44,大分県,0,0,0,0,45,宮崎県,0,0,0,0,46,鹿児島県,0,0,0,0,47,沖縄県,0,0,0,0
2020/1/12,1,北海道,0,0,0,0,2,青森県,0,0,0,0,3,岩手県,0,0,0,0,4,宮城県,0,0,0,0,5,秋田県,0,0,0,0,6,山形県,0,0,0,0,7,福島県,0,0,0,0,8,茨城県,0,0,0,0,9,栃木県,0,0,0,0,10,群馬県,0,0,0,0,11,埼玉県,0,0,0,0,12,千葉県,0,0,0,0,13,東京都,0,0,0,0,14,神奈川県,0,0,0,0,15,新潟県,0,0,0,0,16,富山県,0,0,0,0,17,石川県,0,0,0,0,18,福井県,0,0,0,0,19,山梨県,0,0,0,0,20,長野県,0,0,0,0,21,岐阜県,0,0,0,0,22,静岡県,0,0,0,0,23,愛知県,0,0,0,0,24,三重県,0,0,0,0,25,滋賀県,0,0,0,0,26,京都府,0,0,0,0,27,大阪府,0,0,0,0,28,兵庫県,0,0,0,0,29,奈良県,0,0,0,0,30,和歌山県,0,0,0,0,31,鳥取県,0,0,0,0,32,島根県,0,0,0,0,33,岡山県,0,0,0,0,34,広島県,0,0,0,0,35,山口県,0,0,0,0,36,徳島県,0,0,0,0,37,香川県,0,0,0,0,38,愛媛県,0,0,0,0,39,高知県,0,0,0,0,40,福岡県,0,0,0,0,41,佐賀県,0,0,0,0,42,長崎県,0,0,0,0,43,熊本県,0,0,0,0,44,大分県,0,0,0,0,45,宮崎県,0,0,0,0,46,鹿児島県,0,0,0,0,47,沖縄県,0,0,0,0
2020/1/13,1,北海道,0,0,0,0,2,青森県,0,0,0,0,3,岩手県,0,0,0,0,4,宮城県,0,0,0,0,5,秋田県,0,0,0,0,6,山形県,0,0,0,0,7,福島県,0,0,0,0,8,茨城県,0,0,0,0,9,栃木県,0,0,0,0,10,群馬県,0,0,0,0,11,埼玉県,0,0,0,0,12,千葉県,0,0,0,0,13,東京都,0,0,0,0,14,神奈川県,0,0,0,0,15,新潟県,0,0,0,0,16,富山県,0,0,0,0,17,石川県,0,0,0,0,18,福井県,0,0,0,0,19,山梨県,0,0,0,0,20,長野県,0,0,0,0,21,岐阜県,0,0,0,0,22,静岡県,0,0,0,0,23,愛知県,0,0,0,0,24,三重県,0,0,0,0,25,滋賀県,0,0,0,0,26,京都府,0,0,0,0,27,大阪府,0,0,0,0,28,兵庫県,0,0,0,0,29,奈良県,0,0,0,0,30,和歌山県,0,0,0,0,31,鳥取県,0,0,0,0,32,島根県,0,0,0,0,33,岡山県,0,0,0,0,34,広島県,0,0,0,0,35,山口県,0,0,0,0,36,徳島県,0,0,0,0,37,香川県,0,0,0,0,38,愛媛県,0,0,0,0,39,高知県,0,0,0,0,40,福岡県,0,0,0,0,41,佐賀県,0,0,0,0,42,長崎県,0,0,0,0,43,熊本県,0,0,0,0,44,大分県,0,0,0,0,45,宮崎県,0,0,0,0,46,鹿児島県,0,0,0,0,47,沖縄県,0,0,0,0
2020/1/14,1,北海道,0,0,0,0,2,青森県,0,0,0,0,3,岩手県,0,0,0,0,4,宮城県,0,0,0,0,5,秋田県,0,0,0,0,6,山形県,0,0,0,0,7,福島県,0,0,0,0,8,茨城県,0,0,0,0,9,栃木県,0,0,0,0,10,群馬県,0,0,0,0,11,埼玉県,0,0,0,0,12,千葉県,0,0,0,0,13,東京都,0,0,0,0,14,神奈川県,0,0,0,0,15,新潟県,0,0,0,0,16,富山県,0,0,0,0,17,石川県,0,0,0,0,18,福井県,0,0,0,0,19,山梨県,0,0,0,0,20,長野県,0,0,0,0,21,岐阜県,0,0,0,0,22,静岡県,0,0,0,0,23,愛知県,0,0,0,0,24,三重県,0,0,0,0,25,滋賀県,0,0,0,0,26,京都府,0,0,0,0,27,大阪府,0,0,0,0,28,兵庫県,0,0,0,0,29,奈良県,0,0,0,0,30,和歌山県,0,0,0,0,31,鳥取県,0,0,0,0,32,島根県,0,0,0,0,33,岡山県,0,0,0,0,34,広島県,0,0,0,0,35,山口県,0,0,0,0,36,徳島県,0,0,0,0,37,香川県,0,0,0,0,38,愛媛県,0,0,0,0,39,高知県,0,0,0,0,40,福岡県,0,0,0,0,41,佐賀県,0,0,0,0,42,長崎県,0,0,0,0,43,熊本県,0,0,0,0,44,大分県,0,0,0,0,45,宮崎県,0,0,0,0,46,鹿児島県,0,0,0,0,47,沖縄県,0,0,0,0
2020/1/15,1,北海道,0,0,0,0,2,青森県,0,0,0,0,3,岩手県,0,0,0,0,4,宮城県,0,0,0,0,5,秋田県,0,0,0,0,6,山形県,0,0,0,0,7,福島県,0,0,0,0,8,茨城県,0,0,0,0,9,栃木県,0,0,0,0,10,群馬県,0,0,0,0,11,埼玉県,0,0,0,0,12,千葉県,0,0,0,0,13,東京都,0,0,0,0,14,神奈川県,0,0,0,0,15,新潟県,0,0,0,0,16,富山県,0,0,0,0,17,石川県,0,0,0,0,18,福井県,0,0,0,0,19,山梨県,0,0,0,0,20,長野県,0,0,0,0,21,岐阜県,0,0,0,0,22,静岡県,0,0,0,0,23,愛知県,0,0,0,0,24,三重県,0,0,0,0,25,滋賀県,0,0,0,0,26,京都府,0,0,0,0,27,大阪府,0,0,0,0,28,兵庫県,0,0,0,0,29,奈良県,0,0,0,0,30,和歌山県,0,0,0,0,31,鳥取県,0,0,0,0,32,島根県,0,0,0,0,33,岡山県,0,0,0,0,34,広島県,0,0,0,0,35,山口県,0,0,0,0,36,徳島県,0,0,0,0,37,香川県,0,0,0,0,38,愛媛県,0,0,0,0,39,高知県,0,0,0,0,40,福岡県,0,0,0,0,41,佐賀県,0,0,0,0,42,長崎県,0,0,0,0,43,熊本県,0,0,0,0,44,大分県,0,0,0,0,45,宮崎県,0,0,0,0,46,鹿児島県,0,0,0,0,47,沖縄県,0,0,0,0